⌚	Armbanduhr	Armbanduhr|Uhr|Zeit
🏺	Amphore	Amphore|Gefäß|kochen|Krug|Sternzeichen|Tierkreis|trinken|Vase|Wassermann
🐀	Ratte	Nagetier|Ratte|Tier
🐁	Maus	Maus|Nage|Tier
🐂	Ochse	Kuh|Ochse|Sternzeichen|Stier|Tier|Tierkreis
🐃	Wasserbüffel	Büffel|Tier|Wasser|Wasserbüffel
🐄	Kuh	Bauernhof|Kuh|muh|Tier
🐅	Tiger	Tier|Tiger
🐆	Leopard	gepunktet|Leopard|Punkte|Raubkatze|Raubtier|Tier|Zoo
🐇	Hase	Hase|Kaninchen|Karnickel|Mümmelmann|Nagetier|Tier
🐈	Katze	Haustier|Katze|miau|Tier
🐈‍⬛	schwarze Katze	Kater|Katze|miau|Pech|schwarz|schwarze Katze|schwarzer Kater|Tier|Unglück
🐉	Drache	chinesisch Neujahr|Drache|Märchen|Tier
🐊	Krokodil	Krokodil|Reptil|Schnappi|Tier
🐋	Wal	Ozean|Tier|Wal
🐌	Schnecke	langsam|Schnecke|Tier
🐍	Schlange	Schlange|Schlangenträger|Sternzeichen|Tier|Tierkreis
🐎	Pferd	Pferd|Rennen|Rennpferd|Tier
🐏	Widder	Schaf|Sternzeichen|Tierkreis|Widder
🐐	Ziege	Steinbock|Sternzeichen|Tier|Tierkreis|Ziege
🐑	Schaf	Bock|mäh|Schaf|Tier|Widder|Wolle
🐒	Affe	Affe|Tier
🐓	Hahn	Hahn|Tier
🐔	Huhn	Geflügel|Henne|Huhn|Tier|Tierkopf
🐕	Hund	Haustier|Hund|Tier|wau|wuff
🐕‍🦺	Assistenzhund	Assistenz|Assistenzhund|Barrierefreiheit|Behinderung|Hund|Tier
🐖	Schwein	Bauernhof|Sau|Schwein|Tier
🐗	Wildschwein	Eber|Schwein|Tier|Wildschwein
🐘	Elefant	Elefant|Tier
🐙	Oktopus	Krake|Meer|Oktopus|Tier|Tintenfisch
🐚	Schneckenhaus	Muschel|Schneckenhaus|Strand|Tier
🐛	Raupe	gefräßig|Insekt|Raupe|Tier
🐜	Ameise	Ameise|Insekt|Tier
🐝	Biene	Biene|Honig|Honigbiene|Hummel|Insekt|Maja|Natur|Summ|Tier
